Ref,Name,Sci_key,C_key,Loc,Type,RA,DEC,Vel,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Simbad_Identifier,Ba/Fe,C/Fe
PRE00,CS22874-042,*,*,HA,MS,"14 38 1.941","'-24 58 44.32",163,,14.34,13.91,,,12.774,12.482,12.421,6900,4.5,'-1.51,2,2MASS_J14380194-2458443,'-0.13,
COH06,HE1443+0113,*,NO,HA,RG,"14 46 16.36","1 1 9.8",2.8,,16.5,15.74,15.1,,14.048,13.553,13.479,4945,1.95,'-2.12,1.8,2MASS_J14461636+0101098,1.4,2.05
COH13,HE1443+0113,*,NO,HA,RG,"14 46 16.36","1 1 9.8",2.8,,16.5,15.74,15.1,,14.048,13.553,13.479,5000,2,'-2.11,1.8,2MASS_J14461636+0101098,1.74,1.64
AOK07a,HE1447+0102,*,NO,HA,RG,"14 50 15.038","0 50 15.18",,,15.632,14.614,14.121,13.676,13.207,12.76,12.682,5100,1.7,'-2.52,1.8,2MASS_J14501503+0050151,2.74,2.49
AOK05,BS16083-172,*,*,HA,RG,"14 50 41.447","48 45 13.67",,,13.74,13.13,13.025,12.594,11.99,11.574,11.496,5300,3.1,'-2.53,1.5,2MASS_J14504144+4845136,'-0.33,0.3
AND09,CS30325-094,*,*,HA,RG,"14 54 39.27","4 21 38.07",'-138,,13.02,12.32,11.849,11.376,10.661,10.208,10.123,4950,2,'-3.3,1.5,2MASS_J14543927+0421380,<-1.93,
AOK05,CS30325-094,*,*,HA,RG,"14 54 39.27","4 21 38.07",'-138,,13.02,12.32,11.849,11.376,10.661,10.208,10.123,5050,2.1,'-3.17,2,2MASS_J14543927+0421380,<-1.72,0.44
CAY04,CS30325-094,*,*,HA,RG,"14 54 39.27","4 21 38.07",'-138,,13.02,12.32,11.849,11.376,10.661,10.208,10.123,4950,2,'-3.3,1.5,2MASS_J14543927+0421380,'-1.93,0.09
LAI07,BS16472-018,*,*,HA,RG,"14 56 21.06","1 52 34.8",,,14.1,13.56,13.1,,11.926,11.429,11.352,4946,2.08,'-2.46,,2MASS_J14562106+0152348,'-0.14,'-0.12
AOK05,CS30325-028,*,*,HA,RG,"15 5 19.793","6 17 6.96",'-158,,13.64,12.88,12.387,11.893,11.195,10.681,10.619,4900,1.8,'-2.74,2,2MASS_J15051979+0617069,'-0.58,0.51
LAI07,CS30325-028,*,*,HA,RG,"15 5 19.793","6 17 6.96",'-158,,13.64,12.88,12.387,11.893,11.195,10.681,10.619,4887,1.95,'-2.79,,2MASS_J15051979+0617069,'-0.48,0.68
LAI08,CS30325-028,*,*,HA,RG,"15 5 19.793","6 17 6.96",'-158,,13.64,12.88,12.387,11.893,11.195,10.681,10.619,4911,1.7,'-2.89,1.8,2MASS_J15051979+0617069,'-0.46,0.46
AND09,CS30301-024,*,*,HA,SG,"15 8 29.671","0 35 59.18",,,13.37,12.95,13,12.37,11.931,11.67,11.67,6330,4,'-2.75,1.6,2MASS_J15082967-0035591,'-0.28,
BON09,BS16472-070,*,*,HA,SG,"15 8 29.671","0 35 59.18",,,13.37,12.95,13,12.37,11.931,11.67,11.67,6334,4,'-2.75,1.6,2MASS_J15082967-0035591,'-0.33,0.35
RYA96,BS16472-0070,*,*,HA,SG,"15 8 29.671","0 35 59.18",,,13.37,12.95,13,12.37,11.931,11.67,11.67,6300,3.9,'-2.71,1.5,2MASS_J15082967-0035591,'-0.24,
SHE01,UMiO,*,*,DW,RG,"15 8 34.41","67 10 34.1",,,18.34,16.911,15.9,15.563,14.753,14.084,14.183,4325,0.3,'-1.89,1.8,2MASS_J15083440+6710341,'-0.46,
SHE01,UMiK,*,*,DW,RG,"15 8 55.48","67 15 16.3",'-253.7,,18.33,16.824,15.8,15.616,14.887,14.323,14.18,4325,0.1,'-2.15,2,2MASS_J15085547+6715162,1.3,
AOK02d,CS30301-015,*,*,HA,RG,"15 8 56.843","2 30 18.49",,,14.04,13.04,13.4,12.063,11.304,10.815,10.738,4750,0.8,'-2.64,2.2,2MASS_J15085684+0230184,1.49,1.69
COH06,HE1509-0806,*,*,HA,RG,"15 11 41.58","'-8 17 40.2",'-169.9,,15.3,14.8,14.3,,13.14,12.687,12.605,5185,2.5,'-2.96,1.6,2MASS_J15114157-0817401,1.93,2.19
COH13,HE1509-0806,*,*,HA,RG,"15 11 41.58","'-8 17 40.2",'-169.9,,15.3,14.8,14.3,,13.14,12.687,12.605,5185,2.5,'-2.91,1.6,2MASS_J15114157-0817401,1.88,2.1
AOK05,CS30306-132,R1,*,HA,RG,"15 14 18.905","7 27 2.8",,,13.62,12.73,12.421,11.948,11.302,10.853,10.751,5100,2.2,'-2.4,1.9,2MASS_J15141890+0727028,0.22,0.47
HON04,CS30306-132,R1,*,HA,RG,"15 14 18.905","7 27 2.8",,,13.62,12.73,12.421,11.948,11.302,10.853,10.751,5110,2.5,'-2.41,1.8,2MASS_J15141890+0727028,0.25,0.46
HAN12,CS22890-024,*,*,HA,RG,"15 16 5.4","0 3 57.8",226,,13.98,13.41,,,11.924,11.508,11.439,5400,2.65,'-2.77,1.7,2MASS_J15160539-0003578,'-0.3,
ROE14b,CS22890-024,*,*,HA,RG,"15 16 5.4","0 3 57.8",226,,13.98,13.41,,,11.924,11.508,11.439,5320,2.95,'-2.77,1.25,2MASS_J15160539-0003578,'-0.32,0.31
LAI07,BS16551-058,*,*,HA,RG,"15 18 55","'-8 54 11.9",,,14.29,13.49,12.9,,11.706,11.197,11.113,4937,2.06,'-2.01,,2MASS_J15185499-0854118,0.26,'-0.67
AOK07a,HE1523-1155,*,NO,HA,RG,"15 26 41.039","'-12 5 42.63",,,14.571,13.225,12.622,12.138,11.372,10.846,10.748,4800,1.6,'-2.2,1.8,2MASS_J15264103-1205426,1.76,1.87
AOK07a,HE1528-0409,*,NO,HA,RG,"15 30 54.302","'-4 19 40.43",,,16.003,14.757,14.159,13.681,12.945,12.455,12.358,5000,1.8,'-2.65,1.8,2MASS_J15305430-0419404,2.34,2.42
LAI07,CS30329-129,*,*,HA,RG,"15 31 39.067","'-6 48 39.74",,14.876,14.81,14.11,,,12.788,12.373,12.281,5467,3.37,'-2.41,,2MASS_J15313906-0648397,'-0.65,0.28
AOK05,CS30312-059,*,*,HA,RG,"15 34 48.847","'-1 23 37.29",'-127,,13.85,13.14,12.596,12.065,11.289,10.813,10.696,4950,2,'-3.04,1.8,2MASS_J15344884-0123372,'-0.27,0.21
HAN12,CS30312-059,*,*,HA,RG,"15 34 48.847","'-1 23 37.29",'-127,,13.85,13.14,12.596,12.065,11.289,10.813,10.696,5021,1.9,'-3.06,1.5,2MASS_J15344884-0123372,0.07,
LAI08,CS30312-059,*,*,HA,RG,"15 34 48.847","'-1 23 37.29",'-127,,13.85,13.14,12.596,12.065,11.289,10.813,10.696,5021,2.06,'-3.13,1.8,2MASS_J15344884-0123372,'-0.12,0.35
ROE14b,CS30312-059,R1,*,HA,RG,"15 34 48.847","'-1 23 37.29",'-127,,13.85,13.14,12.596,12.065,11.289,10.813,10.696,4780,1.4,'-3.41,1.65,2MASS_J15344884-0123372,'-0.22,0.23
AOK02a,CS30312-100,*,*,HA,RG,"15 43 31.661","2 1 17.42",'-124,,13.629,12.916,12.444,11.995,11.39,10.946,10.879,5500,3,'-2.17,2.3,2MASS_J15433166+0201174,'-0.63,
AOK07a,CS30312-100,*,*,HA,RG,"15 43 31.661","2 1 17.42",'-124,,13.629,12.916,12.444,11.995,11.39,10.946,10.879,5300,2.8,'-2.38,2.2,2MASS_J15433166+0201174,'-0.74,0.55
MAS12,CS30312-100,*,*,HA,RG,"15 43 31.661","2 1 17.42",'-124,,13.629,12.916,12.444,11.995,11.39,10.946,10.879,5000,2,'-2.75,1.5,2MASS_J15433166+0201174,'-0.73,0.4
ROE14b,CS30312-100,*,*,HA,RG,"15 43 31.661","2 1 17.42",'-124,,13.629,12.916,12.444,11.995,11.39,10.946,10.879,5040,2.15,'-2.69,1.3,2MASS_J15433166+0201174,'-0.71,0.27
LAI08,CS22884-0108,*,*,HA,MS,"15 49 57.582","'-9 14 9.2",'-27,,14.74,14.24,,,12.996,12.679,12.588,6290,4.44,'-3.13,1.4,2MASS_J15495758-0914092,0.0,<1.0
ROE14b,CS22884-108,*,*,HA,SG,"15 49 57.582","'-9 14 9.2",'-27,,14.74,14.24,,,12.996,12.679,12.588,6320,3.75,'-3.1,1.2,2MASS_J15495758-0914092,'-0.19,<1.37
CAS15,J155730.10-293922.7,*,*,BU,RG,"15 57 30.101","'-29 39 22.83",,,,,,,11.128,10.614,10.497,4720,1.12,'-3.02,2.88,2MASS_J15573010-2939228,'-0.5,0.0
AOK05,BS16084-160,*,*,HA,RG,"16 28 50.781","54 37 6.79",,,13.94,13.12,12.63,12.103,11.345,10.838,10.747,4650,1.1,'-3.1,2.2,2MASS_J16285078+5437067,'-2.31,'-0.13
LAI07,BS16084-160,*,*,HA,RG,"16 28 50.781","54 37 6.79",,,13.94,13.12,12.63,12.103,11.345,10.838,10.747,4762,1.66,'-2.93,,2MASS_J16285078+5437067,<-0.05,'-0.02
LAI08,BS16084-160,*,*,HA,RG,"16 28 50.781","54 37 6.79",,,13.94,13.12,12.63,12.103,11.345,10.838,10.747,4728,1.26,'-3.19,2.1,2MASS_J16285078+5437067,'-2.11,'-0.04
AOK05,BS16080-054,*,*,HA,RG,"16 39 18.531","60 57 42.64",'-92,,13.5,12.79,12.2,11.786,11.097,10.632,10.508,4800,1.1,'-2.89,2.4,2MASS_J16391853+6057426,'-0.72,'-0.9
LAI07,BS16080-054,*,*,HA,RG,"16 39 18.531","60 57 42.64",'-92,,13.5,12.79,12.2,11.786,11.097,10.632,10.508,4838,1.83,'-2.74,,2MASS_J16391853+6057426,'-0.24,'-0.37
LAI08,BS16080-054,*,*,HA,RG,"16 39 18.531","60 57 42.64",'-92,,13.5,12.79,12.2,11.786,11.097,10.632,10.508,4805,1.48,'-3.06,2.1,2MASS_J16391853+6057426,'-0.35,'-0.37
AND09,CS22878-101,*,*,HA,RG,"16 45 31.442","8 14 45.45",'-110,,14.59,13.79,13.5,12.673,11.873,11.369,11.242,4800,1.3,'-3.25,2,2MASS_J16453144+0814454,'-0.63,
CAR02,CS22878-101,*,*,HA,RG,"16 45 31.442","8 14 45.45",'-110,,14.59,13.79,13.5,12.673,11.873,11.369,11.242,4775,1.3,'-3.07,2.01,2MASS_J16453144+0814454,'-1.13,
CAY04,CS22878-101,*,*,HA,RG,"16 45 31.442","8 14 45.45",'-110,,14.59,13.79,13.5,12.673,11.873,11.369,11.242,4800,1.3,'-3.29,2,2MASS_J16453144+0814454,'-0.59,'-0.16
LAI07,CS22878-101,*,*,HA,RG,"16 45 31.442","8 14 45.45",'-110,,14.59,13.79,13.5,12.673,11.873,11.369,11.242,4789,1.72,'-2.93,,2MASS_J16453144+0814454,'-0.58,'-0.32
MCW95,CS22878-101,*,*,HA,RG,"16 45 31.442","8 14 45.45",'-110,,14.59,13.79,13.5,12.673,11.873,11.369,11.242,4790,1.15,'-3.11,2.39,2MASS_J16453144+0814454,'-0.86,'-0.22
ROE14a,CS22878-101,*,*,HA,RG,"16 45 31.442","8 14 45.45",'-110,,14.59,13.79,13.5,12.673,11.873,11.369,11.242,4650,1.05,'-3.53,1.9,2MASS_J16453144+0814454,'-0.37,'-0.37
ROE14b,CS22878-101,*,*,HA,RG,"16 45 31.442","8 14 45.45",'-110,,14.59,13.79,13.5,12.673,11.873,11.369,11.242,4650,1.05,'-3.53,1.9,2MASS_J16453144+0814454,'-0.37,'-0.37
PRE06,CS22878-121,*,*,HA,HB,"16 47 50.038","11 39 11.25",'-377,,14.53,13.99,13.7,,12.62,12.288,12.169,5450,1.9,'-2.38,2.05,2MASS_J16475003+1139112,'-0.08,'-0.25
LAI07,BS16080-093,*,*,HA,RG,"16 50 38.31","59 13 6.5",,,14.3,13.61,13.6,,11.97,11.49,11.401,5120,2.53,'-2.73,,2MASS_J16503830+5913064,0.06,'-0.37
LAI08,BS16080-093,*,*,HA,RG,"16 50 38.31","59 13 6.5",,,14.3,13.61,13.6,,11.97,11.49,11.401,4940,1.86,'-3.18,1.9,2MASS_J16503830+5913064,'-0.25,<-0.55
AOK08,SDSS1707+58,*,NO,HA,MS,"17 7 33.92","58 50 59.8",9,,15.8,16.1,15.6,,15.064,14.827,14.776,6700,4.2,'-2.57,1.5,2MASS_J17073392+5850598,3.44,2.14
LI15a,LAMOSTJ1709+1616,*,NO,HA,SG,"17 9 59.783","16 16 13.33",,,,,,,13.338,13.13,13.04,5780,3.5,'-3.71,1.9,2MASS_J17095978+1616133,'-0.01,1.58
COH09,Draco21456,*,*,DW,RG,"17 18 10.39","57 52 9.1",'-306.42,,17.8,17.15,16.4,,14.699,14.14,13.939,4430,0.7,'-2.39,2.3,2MASS_J17181038+5752090,0.26,'-0.28
SHE01,Draco473,*,*,DW,RG,"17 19 36","57 56 28.9",'-288.5,,18.8,17.57,16.8,,15.256,14.648,14.624,4400,0.9,'-1.42,1.75,2MASS_J17193600+5756289,'-0.08,
COH09,Draco3150,*,*,DW,RG,"17 19 36.3","57 51 24.8",'-280.42,,18.225,17.209,16.58,15.912,15.128,14.424,14.454,4380,0.6,'-1.94,2.3,2MASS_J17193630+5751247,0.13,'-0.43
SHE01,Draco343,*,*,DW,RG,"17 20 13.52","57 51 59.1",'-294.22,,18.432,17.499,16.919,16.283,15.544,14.891,15.012,4475,0.9,'-1.84,1.8,2MASS_J17201351+5751591,0.02,
COH09,Draco361,*,*,DW,RG,"17 20 34.17","57 53 32",'-286.16,,18.38,17.367,16.741,16.081,15.33,14.74,14.45,4420,0.75,'-1.54,2,2MASS_J17203417+5753319,0.02,'-0.33
COH09,Draco19219,*,*,DW,RG,"17 21 43.68","57 57 12.7",,,18.081,17.145,16.565,15.929,15.224,14.626,14.326,4500,0.75,'-3.06,2.9,2MASS_J17214368+5757126,'-0.55,0.53
COH09,Draco19629,*,*,DW,RG,"17 21 58.2","57 56 4.25",,,18.191,17.163,16.515,15.803,15.12,14.52,14.38,4460,0.8,'-2.7,2.9,2MASS_J17215819+5756042,'-0.72,'-0.23
MEL16,2MASSJ18082002-5104378,*,NO,HA,RG,"18 8 20.026","'-51 4 37.87",,,,,,,10.527,10.158,10.088,5440,3,'-4.07,1.5,2MASS_J18082002-5104378,<-0.31,<0.94
CAS15,J181503.64-375120.7,*,*,BU,RG,"18 15 3.656","'-37 51 20.66",,,,,,,10.803,10.288,10.19,4728,1.09,'-2.84,3,2MASS_J18150365-3751206,'-1.2,0.15
CAS15,J183713.28-314109.3,*,*,BU,RG,"18 37 13.296","'-31 41 9.17",,,,,,,10.646,10.124,10.04,4797,0.99,'-2.7,2.67,2MASS_J18371329-3141091,'-0.55,'-0.61
PRE00,CS22896-0103,*,*,HA,SG,"19 33 15.474","'-54 58 52.01",,,14.87,14.54,,,13.89,13.68,13.66,7400,4,'-0.08,4.5,2MASS_J19331547-5458520,'-0.42,
HOL11,CS22891-200,*,*,HA,RG,"19 35 19.08","'-61 42 24.4",137.7,,14.77,13.93,13.3,12.79,11.995,11.461,11.414,4500,0.45,'-3.92,2.6,2MASS_J19351908-6142243,'-1.06,0.58
MCW95,CS22891-200,*,*,HA,RG,"19 35 19.08","'-61 42 24.4",137.7,,14.77,13.93,13.3,12.79,11.995,11.461,11.414,4700,1,'-3.47,2.51,2MASS_J19351908-6142243,<-1.11,0.64
ROE14a,CS22891-200,*,*,HA,RG,"19 35 19.08","'-61 42 24.4",137.7,,14.77,13.93,13.3,12.79,11.995,11.461,11.414,4490,0.5,'-4.06,1.7,2MASS_J19351908-6142243,'-0.75,0.53
ROE14b,CS22891-200,*,*,HA,RG,"19 35 19.08","'-61 42 24.4",137.7,,14.77,13.93,13.3,12.79,11.995,11.461,11.414,4490,0.5,'-4.06,1.7,2MASS_J19351908-6142243,'-0.75,0.53
AND09,CS22891-209,*,*,HA,RG,"19 42 2.16","'-61 3 44.7",74,,13.03,12.18,11.5,,10.235,9.745,9.623,4700,1,'-3.29,2.1,2MASS_J19420216-6103446,'-0.6,
CAY04,CS22891-209,*,*,HA,RG,"19 42 2.16","'-61 3 44.7",74,,13.03,12.18,11.5,,10.235,9.745,9.623,4700,1,'-3.29,2.1,2MASS_J19420216-6103446,'-0.6,'-0.56
MCW95,CS22891-209,*,*,HA,RG,"19 42 2.16","'-61 3 44.7",74,,13.03,12.18,11.5,,10.235,9.745,9.623,4680,0.65,'-3.18,2.92,2MASS_J19420216-6103446,'-0.89,'-0.35
ROE14b,CS22891-209,*,*,HA,RG,"19 42 2.16","'-61 3 44.7",74,,13.03,12.18,11.5,,10.235,9.745,9.623,4620,0.95,'-3.49,1.8,2MASS_J19420216-6103446,'-0.35,'-0.42
AND09,CS22896-154,*,*,HA,RG,"19 42 26.89","'-56 58 34",141,,14.27,13.63,12.7,,12.072,11.637,11.54,5250,2.7,'-2.69,1.2,2MASS_J19422688-5658340,0.46,
CAY04,CS22896-154,R1,*,HA,RG,"19 42 26.89","'-56 58 34",141,,14.27,13.63,12.7,,12.072,11.637,11.54,5250,2.7,'-2.68,1.2,2MASS_J19422688-5658340,0.45,0.31
MCW95,CS22896-154,*,*,HA,RG,"19 42 26.89","'-56 58 34",141,,14.27,13.63,12.7,,12.072,11.637,11.54,5140,2.55,'-2.71,1.76,2MASS_J19422688-5658340,0.22,0.28
PRE00,CS22964-074,*,*,HA,MS,"19 49 29.42","'-39 42 39.4",'-346,,14.85,14.46,,,13.413,13.133,13.115,6950,4.2,'-1.98,1.75,2MASS_J19492941-3942394,'-0.12,
AND09,CS22873-055,*,*,HA,RG,"19 53 49.79","'-59 40 0.2",209.31,,13.592,12.62,12.2,11.48,10.654,10.127,10.006,4550,0.7,'-2.99,2.2,2MASS_J19534978-5940001,'-0.5,
CAY04,CS22873-055,*,*,HA,RG,"19 53 49.79","'-59 40 0.2",209.31,,13.592,12.62,12.2,11.48,10.654,10.127,10.006,4540,0.4,'-2.98,3.25,2MASS_J19534978-5940001,'-0.51,'-0.65
MCW95,CS22873-128,*,*,HA,RG,"20 7 3.792","'-58 34 57.52",202,,13.72,13.03,12.7,12.102,11.43,10.993,10.874,4960,2.1,'-2.86,1.94,2MASS_J20070379-5834575,'-0.96,0.18
ROE14b,CS22873-128,*,*,HA,RG,"20 7 3.792","'-58 34 57.52",202,,13.72,13.03,12.7,12.102,11.43,10.993,10.874,4710,1.2,'-3.32,1.65,2MASS_J20070379-5834575,'-1.37,0.12
PRE00,CS22885-048,*,*,HA,SG,"20 19 53.778","'-38 56 36.07",'-60,14.54,14.61,14.27,14.2,,13.396,13.25,13.21,7050,4,'-1.34,2.5,2MASS_J20195377-3856360,0.08,
AND09,CS22885-096,*,*,HA,RG,"20 20 51.17","'-39 53 30.2",'-249.1,,14.02,13.33,12.3,,11.63,11.163,11.09,5050,2.6,'-3.78,1.8,2MASS_J20205117-3953301,'-1.15,
CAY04,CS22885-096,*,*,HA,RG,"20 20 51.17","'-39 53 30.2",'-249.1,,14.02,13.33,12.3,,11.63,11.163,11.09,5050,2.6,'-3.81,1.8,2MASS_J20205117-3953301,'-1.12,0.38
MCW95,CS22885-096,*,*,HA,RG,"20 20 51.17","'-39 53 30.2",'-249.1,,14.02,13.33,12.3,,11.63,11.163,11.09,4920,2.1,'-3.77,2.15,2MASS_J20205117-3953301,'-0.77,0.44
NOR01,CS22885-096,*,NO,HA,RG,"20 20 51.17","'-39 53 30.2",'-249.1,,14.02,13.33,12.3,,11.63,11.163,11.09,5050,1.9,'-3.66,1.9,2MASS_J20205117-3953301,'-1.49,0.84
ROE14b,CS22885-096,*,*,HA,RG,"20 20 51.17","'-39 53 30.2",'-249.1,,14.02,13.33,12.3,,11.63,11.163,11.09,4580,0.75,'-4.41,1.75,2MASS_J20205117-3953301,'-1.64,0.6
RYA96,CS22885-096,*,*,HA,RG,"20 20 51.17","'-39 53 30.2",'-249.1,,14.02,13.33,12.3,,11.63,11.163,11.09,5050,2,'-3.6,1.8,2MASS_J20205117-3953301,<-0.79,
CAR02,CS22950-046,*,*,HA,RG,"20 21 28.396","'-13 16 33.61",106.7,,15.13,14.224,13.639,13.066,12.25,11.685,11.583,4730,1.3,'-3.27,2.02,2MASS_J20212839-1316336,'-1.42,
MCW95,CS22950-046,*,*,HA,RG,"20 21 28.396","'-13 16 33.61",106.7,,15.13,14.224,13.639,13.066,12.25,11.685,11.583,4640,0.85,'-3.38,2.68,2MASS_J20212839-1316336,<-1.6,0.05
ROE14b,CS22950-046,*,*,HA,RG,"20 21 28.396","'-13 16 33.61",106.7,,15.13,14.224,13.639,13.066,12.25,11.685,11.583,4380,0.5,'-4.12,1.8,2MASS_J20212839-1316336,'-1.01,0.61
PRE00,CS22950-078,*,*,HA,SG,"20 24 57.8","'-16 29 57.7",14,,15.03,14.62,,,13.59,13.254,13.191,6900,4,'-1.84,1.75,2MASS_J20245779-1629577,'-0.57,
ROE14b,CS22943-137,*,*,HA,RG,"20 26 28.997","'-43 0 42.7",'-20,14.67,15,14.47,,,13.283,12.907,12.931,5400,3.1,'-3.64,1.2,2MASS_J20262899-4300426,<-0.65,0.64
RYA96,CS22943-137,*,*,HA,SG,"20 26 28.997","'-43 0 42.7",'-20,14.67,15,14.47,,,13.283,12.907,12.931,5650,3.5,'-3.22,1.3,2MASS_J20262899-4300426,<-0.48,
LAI07,CS22950-153,*,*,HA,RG,"20 32 34.5","'-15 47 57.9",'-161,,14.3,13.74,,,12.419,12.072,12.037,5293,3.02,'-2.1,,2MASS_J20323450-1547579,'-0.3,'-0.02
PRE00,CS22950-173,*,*,HA,MS,"20 35 31.26","'-15 53 30.6",60,,14.45,14.04,,,12.984,12.703,12.664,6800,4.5,'-2.48,1.75,2MASS_J20353125-1553306,'-0.11,
PRE00,CS22880-058,*,*,HA,SG,"20 43 55.98","'-21 36 32.5",'-41,,14.91,14.54,14.5,,13.565,13.3,13.253,7150,3.9,'-1.83,2,2MASS_J20435597-2136325,'-0.51,
LAI08,CS30336-049,*,*,HA,RG,"20 45 23.531","'-28 42 35.91",'-236.6,,14.89,14.03,13.328,12.844,12.112,11.641,11.545,4827,1.51,'-4.03,2.3,2MASS_J20452353-2842359,'-1.5,'-0.2
YON13,CS30336-049,*,*,HA,RG,"20 45 23.531","'-28 42 35.91",'-236.6,,14.89,14.03,13.328,12.844,12.112,11.641,11.545,4725,1.19,'-4.1,2.1,2MASS_J20452353-2842359,<-1.55,<0.23
AOK02d,CS22880-074,*,*,HA,SG,"20 46 3.217","'-20 59 14.18",97,,13.84,13.27,12.77,12.382,11.99,11.687,11.636,5850,3.8,'-1.93,1.4,2MASS_J20460321-2059141,1.35,
PRE01,CS22880-074,S,CR,HA,SG,"20 46 3.217","'-20 59 14.18",97,,13.84,13.27,12.77,12.382,11.99,11.687,11.636,6050,4,'-1.78,1.9,2MASS_J20460321-2059141,1.29,1.6
AOK08,SDSS2047+00,*,*,HA,MS,"20 47 28.84","0 15 53.8",'-50.05,,,,,,15.188,14.791,14.88,6600,4.5,'-2.1,1.3,2MASS_J20472884+0015538,1.54,
RYA96,CS30308-062,*,*,HA,SG,"20 51 5.25","'-44 10 44.2",,,14.28,13.87,,,12.863,12.609,12.57,5950,3.6,'-2.92,1,2MASS_J20510525-4410442,<-0.52,
AOK02a,CS30314-067,*,*,HA,RG,"20 52 50.986","'-34 19 40.52",145.6,,12.98,11.85,11.175,10.583,9.759,9.175,9.028,4400,0.7,'-2.85,2.5,2MASS_J20525098-3419405,'-0.62,0.59
ROE14a,CS30314-067,I,CR,HA,RG,"20 52 50.986","'-34 19 40.52",145.6,,12.98,11.85,11.175,10.583,9.759,9.175,9.028,4320,0.5,'-3.31,1.85,2MASS_J20525098-3419405,'-0.25,0.85
ROE14b,CS30314-067,I,CR,HA,RG,"20 52 50.986","'-34 19 40.52",145.6,,12.98,11.85,11.175,10.583,9.759,9.175,9.028,4320,0.5,'-3.31,1.85,2MASS_J20525098-3419405,'-0.25,0.85
AND09,CS22897-008,*,*,HA,RG,"21 3 11.857","'-65 5 8.85",260,,14.02,13.33,,,11.596,11.089,11.002,4900,1.7,'-3.41,2,2MASS_J21031185-6505088,'-1.05,
CAY04,CS22897-008,*,*,HA,RG,"21 3 11.857","'-65 5 8.85",260,,14.02,13.33,,,11.596,11.089,11.002,4900,1.7,'-3.42,2,2MASS_J21031185-6505088,'-1.04,0.66
MCW95,CS22897-008,*,*,HA,RG,"21 3 11.857","'-65 5 8.85",260,,14.02,13.33,,,11.596,11.089,11.002,4790,1.5,'-3.33,2.16,2MASS_J21031185-6505088,'-1.34,0.45
ROE14b,CS22897-008,*,*,HA,RG,"21 3 11.857","'-65 5 8.85",260,,14.02,13.33,,,11.596,11.089,11.002,4550,0.7,'-3.83,1.7,2MASS_J21031185-6505088,'-1.17,0.6
RYA96,CS22897-008,*,*,HA,RG,"21 3 11.857","'-65 5 8.85",260,,14.02,13.33,,,11.596,11.089,11.002,4850,1.8,'-3.34,1.7,2MASS_J21031185-6505088,'-1.22,
RYA96,CS22897-008*,*,*,HA,RG,"21 3 11.857","'-65 5 8.85",260,,14.02,13.33,,,11.596,11.089,11.002,4850,1.8,'-3.19,2,2MASS_J21031185-6505088,'-1.36,
AOK02d,CS29498-043,*,NO,HA,RG,"21 3 52.113","'-29 42 50.24",'-32.6,,14.8,13.72,13.013,12.406,11.621,11.108,10.938,4400,0.6,'-3.75,2.3,2MASS_J21035211-2942502,'-0.41,1.99
ROE14a,CS29498-043,*,NO,HA,RG,"21 3 52.113","'-29 42 50.24",'-32.6,,14.8,13.72,13.013,12.406,11.621,11.108,10.938,4440,0.5,'-3.87,1.75,2MASS_J21035211-2942502,'-0.49,2.75
ROE14b,CS29498-043,*,NO,HA,RG,"21 3 52.113","'-29 42 50.24",'-32.6,,14.8,13.72,13.013,12.406,11.621,11.108,10.938,4440,0.5,'-3.87,1.75,2MASS_J21035211-2942502,'-0.49,2.75
ALL12,CS22898-027,I,CR,HA,SG,"21 5 45.09","'-18 36 57.47",'-64,,13.26,12.76,12.476,12.094,11.719,11.503,11.421,6240,3.72,'-2.3,1.4,2MASS_J21054509-1836574,2.21,2.46
AOK02d,CS22898-027,I,*,HA,SG,"21 5 45.09","'-18 36 57.47",'-64,,13.26,12.76,12.476,12.094,11.719,11.503,11.421,6250,3.7,'-2.25,1.5,2MASS_J21054509-1836574,2.27,
LAI07,CS22898-027,*,NO,HA,SG,"21 5 45.09","'-18 36 57.47",'-64,,13.26,12.76,12.476,12.094,11.719,11.503,11.421,5750,3.58,'-2.29,,2MASS_J21054509-1836574,2.11,1.58
MAS12,CS22898-027,*,*,HA,SG,"21 5 45.09","'-18 36 57.47",'-64,,13.26,12.76,12.476,12.094,11.719,11.503,11.421,6000,3.5,'-2.54,1.4,2MASS_J21054509-1836574,2.56,2.11
MCW95,CS22898-027,*,*,HA,SG,"21 5 45.09","'-18 36 57.47",'-64,,13.26,12.76,12.476,12.094,11.719,11.503,11.421,6000,3.6,'-2.34,1.42,2MASS_J21054509-1836574,2.49,2.01
PRE01,CS22898-027,I,CR,HA,SG,"21 5 45.09","'-18 36 57.47",'-64,,13.26,12.76,12.476,12.094,11.719,11.503,11.421,6300,4,'-2.17,2,2MASS_J21054509-1836574,2.22,2.04
ROE14a,CS30492-001,*,*,HA,SG,"21 5 55.234","'-42 10 10.11",'-132,16.268,13.94,14.2,12.8,,12.476,12.154,12.159,5790,3.65,'-2.62,0.85,2MASS_J21055523-4210101,'-0.18,0.22
ROE14b,CS30492-001,*,*,HA,SG,"21 5 55.234","'-42 10 10.11",'-132,16.268,13.94,14.2,12.8,,12.476,12.154,12.159,5790,3.65,'-2.62,0.85,2MASS_J21055523-4210101,'-0.18,0.22
