Ref,Name,Sci_key,C_key,Loc,Type,RA,DEC,Vel,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Simbad_Identifier,Ba/Fe,C/Fe
ROE14b,CS22958-042,*,*,HA,SG,"2 1 7.432","'-57 16 58.82",151,,14.037,14.52,14.222,13.902,13.515,13.288,13.213,5760,3.55,'-3.4,0.95,2MASS_J02010743-5716588,<-0.61,2.56
SIV06,CS22958-042,*,NO,HA,SG,"2 1 7.432","'-57 16 58.82",151,,14.037,14.52,14.222,13.902,13.515,13.288,13.213,6250,3.5,'-2.85,1.5,2MASS_J02010743-5716588,<-0.73,3.12
BAR05,HE0200-0955,*,*,HA,RG,"2 3 16.21","'-9 40 48.82",73.6,,15.2,14.907,14.2,14.05,13.462,13.083,12.939,5216,2.57,'-2.47,1.79,2MASS_J02031620-0940488,'-0.73,0.38
JAC15,2MASS_J02031860-7930291,*,*,HA,RG,"02 03 18.606","'-79 30 29.14",,,,,,,12.244,11.689,11.605,4720,1.1,'-3.03,2.45,2MASS_J02031860-7930291,0.07,'-0.52
BAR05,HE0202-2204,S,CR,HA,RG,"2 4 50.019","'-21 50 10.28",108.2,,15.4,15.375,15.3,14.575,14.098,13.65,13.639,5280,1.65,'-1.98,2.47,2MASS_J02045001-2150102,1.35,1.12
AOK07a,HE0206-1916,*,NO,HA,RG,"2 9 19.627","'-19 1 55.5",,,15.133,13.999,13.458,12.987,12.243,11.765,11.66,5200,2.7,'-2.14,2,2MASS_J02091962-1901554,2.01,2.11
YON13,HE0207-1423,*,NO,HA,RG,"2 10 0.697","'-14 9 11.05",'-209.6,,15.836,15.037,14.63,14.191,13.67,13.233,13.162,5023,2.07,'-2.95,1.3,2MASS_J02100069-1409110,1.73,2.38
COH06,HE0212-0557,*,NO,HA,RG,"2 15 2.51","'-5 43 23.6",'-230.6,,15.5,14.7,14.5,,13.116,12.692,12.565,5075,2.15,'-2.32,1.8,2MASS_J02150250-0543235,2.18,1.95
COH13,HE0212-0557,*,NO,HA,RG,"2 15 2.51","'-5 43 23.6",'-230.6,,15.5,14.7,14.5,,13.116,12.692,12.565,5075,2.2,'-2.27,1.8,2MASS_J02150250-0543235,2.13,1.86
BAR05,CS22958-083,*,*,HA,RG,"2 15 42.723","'-53 59 56.19",180,15.057,15.09,14.44,13.981,13.521,12.946,12.504,12.394,5101,2.4,'-2.79,1.5,2MASS_J02154272-5359561,'-1.04,0.6
PRE06,CS22958-083,*,NO,HA,RG,"2 15 42.723","'-53 59 56.19",180,15.057,15.09,14.44,13.981,13.521,12.946,12.504,12.394,4900,1.9,'-2.97,1.5,2MASS_J02154272-5359561,'-0.89,0.71
ROE14b,CS22958-083,*,*,HA,RG,"2 15 42.723","'-53 59 56.19",180,15.057,15.09,14.44,13.981,13.521,12.946,12.504,12.394,4900,1.75,'-3.05,1.4,2MASS_J02154272-5359561,'-0.99,0.53
BAR05,CS22175-007,*,*,HA,RG,"2 17 26.625","'-9 0 45.13",'-5,,14.14,13.49,13.038,12.571,11.961,11.502,11.437,5108,2.46,'-2.81,1.67,2MASS_J02172662-0900451,'-0.52,0.15
PRE00,CS22175-034,*,*,HA,SG,"2 20 21.515","'-10 38 8.95",50,,12.97,12.6,12.9,,11.834,11.708,11.622,7100,3.9,'-0.26,2.5,2MASS_J02202151-1038089,'-0.07,
BAR05,CS29510-058,*,*,HA,RG,"2 21 46.564","'-24 1 58.61",153.1,,14.2,13.53,13.07,12.628,12.008,11.58,11.464,5108,2.32,'-2.61,1.62,2MASS_J02214656-2401586,'-0.06,0.36
LAI07,CS29510-058,*,*,HA,RG,"2 21 46.564","'-24 1 58.61",153.1,,14.2,13.53,13.07,12.628,12.008,11.58,11.464,5192,2.73,'-2.51,,2MASS_J02214656-2401586,'-0.19,0.63
ALL12,CS29528-028,I,CR,HA,MS,"2 28 26.55","'-21 33 0.94",,,14.862,14.51,14.292,14.015,13.755,13.535,13.537,7100,4.27,'-2.12,1.2,2MASS_J02282654-2133009,2.39,2.8
AOK07a,CS29528-028,*,NO,HA,SG,"2 28 26.55","'-21 33 0.94",,,14.862,14.51,14.292,14.015,13.755,13.535,13.537,6800,4,'-2.91,1.9,2MASS_J02282654-2133009,3.31,2.78
LAI07,CS29510-008,*,*,HA,SG,"2 31 24.87","'-24 0 22.3",,,14.31,13.74,,,12.376,12.002,11.994,5577,3.48,'-1.69,,2MASS_J02312487-2400223,'-0.29,0.28
BAR05,HE0231-4016,*,NO,HA,SG,"2 33 44.394","'-40 3 42.87",180.8,,16.494,16.09,15.788,15.475,15.131,14.828,14.866,5972,3.59,'-2.08,1.67,2MASS_J02334439-4003428,1.42,1.32
HAN15,HE0233-0343,*,*,HA,SG,"2 36 29.79","'-3 30 6.01",,,15.867,15.43,15.171,14.818,14.359,14.077,14.063,6100,3.4,'-4.68,2,2MASS_J02362978-0330060,<0.8,3.48
HAN14,HE0233-0343,*,NO,HA,SG,"2 36 29.79","'-3 30 6.01",,,15.867,15.43,15.171,14.818,14.359,14.077,14.063,6100,3.4,'-4.68,2,2MASS_J02362978-0330060,<0.8,3.6
BON09,CS31061-032,*,*,HA,MS,"2 38 43.293","3 19 2.44",,,14.3,13.9,13.581,13.29,12.871,12.617,12.61,6409,4.25,'-2.58,1.4,2MASS_J02384329+0319024,'-0.45,0.68
SHE03,Fnx25,*,*,DW,RG,"2 39 47.12","'-34 31 49.9",47.47,,20.269,18.59,17.746,,15.924,15.204,15.345,4025,0,'-1.19,2,2MASS_J02394711-3431499,0.49,
SHE03,Fnx21,*,*,DW,RG,"2 40 4.41","'-34 27 11.6",52.43,,19.946,18.37,17.414,,15.632,14.833,14.758,4000,0.5,'-0.65,1.7,2MASS_J02400441-3427115,0.86,
AND09,CS22189-009,*,*,HA,RG,"2 41 42.375","'-13 28 10.53",'-42,,14.73,13.97,13.566,13.08,12.391,11.895,11.798,4900,1.7,'-3.49,1.9,2MASS_J02414237-1328105,'-1.34,
CAY04,CS22189-009,*,*,HA,RG,"2 41 42.375","'-13 28 10.53",'-42,,14.73,13.97,13.566,13.08,12.391,11.895,11.798,4900,1.7,'-3.49,1.9,2MASS_J02414237-1328105,'-1.34,0.4
MCW95,CS22189-009,*,*,HA,RG,"2 41 42.375","'-13 28 10.53",'-42,,14.73,13.97,13.566,13.08,12.391,11.895,11.798,4860,1.7,'-3.42,2.28,2MASS_J02414237-1328105,<-1.26,0.19
ROE14b,CS22189-009,*,*,HA,RG,"2 41 42.375","'-13 28 10.53",'-42,,14.73,13.97,13.566,13.08,12.391,11.895,11.798,4540,0.6,'-3.92,1.65,2MASS_J02414237-1328105,'-1.52,0.3
BAR05,HE0240-6105,*,*,HA,RG,"2 42 6.095","'-60 53 3.11",153,,14.7,14.684,13,13.562,12.886,12.417,12.335,4720,1.26,'-3.23,2.15,2MASS_J02420609-6053031,'-0.73,'-0.29
BAR05,HE0240-0807,*,*,HA,RG,"2 42 57.729","'-7 54 35.47",'-98.8,,15.867,14.971,14.447,13.889,13.213,12.707,12.625,4729,1.54,'-2.68,1.96,2MASS_J02425772-0754354,0.16,'-0.38
SIQ14,HE0240-0807,R1,*,HA,RG,"2 42 57.729","'-7 54 35.47",'-98.8,,15.867,14.971,14.447,13.889,13.213,12.707,12.625,4740,1.5,'-2.86,2.27,2MASS_J02425772-0754354,0.18,'-0.37
HAN15,HE0243-3044,I,CR,HA,RG,"2 45 16.43","'-30 32 2.22",,,17.11,16.1,16.3,,14.649,14.293,14.17,5400,3.2,'-2.58,0.9,2MASS_J02451642-3032022,1.96,2.43
BAR05,HE0243-5238,*,*,HA,RG,"2 45 36.19","'-52 25 57.78",112.3,,14.3,13.929,12.6,13.054,12.638,12.09,12.026,5085,2.35,'-3.04,1.64,2MASS_J02453619-5225577,'-0.35,0.36
